Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,,
2023-12-12,132.0413360595703,132.52000427246094,133.0,131.25999450683594,131.80999755859375,29032800
2023-12-13,132.09117126464844,132.57000732421875,133.5,131.57000732421875,133.3800048828125,30104800
2023-12-14,131.46343994140625,131.94000244140625,133.72000122070312,129.69000244140625,133.3800048828125,38722400
2023-12-15,132.1210479736328,132.60000610351562,133.50999450683594,131.17999267578125,131.6199951171875,50815200
2023-12-18,135.3094940185547,135.8000030517578,137.14999389648438,132.42999267578125,132.6300048828125,32258000
2023-12-19,136.15640258789062,136.64999389648438,137.47000122070312,136.0800018310547,136.83999633789062,25476800
2023-12-20,137.84031677246094,138.33999633789062,141.6999969482422,138.07000732421875,138.97000122070312,49107200
2023-12-21,139.9127960205078,140.4199981689453,140.69000244140625,139.17999267578125,139.49000549316406,27488300
2023-12-22,140.97894287109375,141.49000549316406,141.99000549316406,140.7100067138672,140.77000427246094,26514600
2023-12-26,141.0088348388672,141.52000427246094,142.67999267578125,141.19000244140625,141.58999633789062,16780300
2023-12-27,139.86297607421875,140.3699951171875,142.0800018310547,139.88999938964844,141.58999633789062,19628600
2023-12-28,139.72348022460938,140.22999572753906,141.13999938964844,139.75,140.77999877929688,16045700
2023-12-29,139.18544006347656,139.69000244140625,140.36000061035156,138.77999877929688,139.6300048828125,18727200
2024-01-02,137.67092895507812,138.1699981689453,139.4499969482422,136.47999572753906,138.5500030517578,23711200
2024-01-03,138.41822814941406,138.9199981689453,139.6300048828125,137.0800018310547,137.25,24212100
2024-01-04,135.89736938476562,136.38999938964844,139.16000366210938,136.35000610351562,138.4199981689453,27137700
2024-01-05,135.23973083496094,135.72999572753906,137.16000366210938,135.14999389648438,136.75,22506000
2024-01-08,138.33851623535156,138.83999633789062,139.00999450683594,136.25999450683594,136.2899932861328,21404000
2024-01-09,140.44088745117188,140.9499969482422,141.49000549316406,138.14999389648438,138.5,24759600
2024-01-10,141.76609802246094,142.27999877929688,143.0,140.91000366210938,141.0,21320200
2024-01-11,141.5668182373047,142.0800018310547,145.22000122070312,140.63999938964844,143.49000549316406,24008700
2024-01-12,142.13475036621094,142.64999389648438,143.1999969482422,141.82000732421875,142.6699981689453,18768600
2024-01-16,141.97532653808594,142.49000549316406,144.35000610351562,141.4499969482422,142.0,22670500
2024-01-17,140.95901489257812,141.47000122070312,141.83999633789062,138.89999389648438,141.35000610351562,20968600
2024-01-18,142.96176147460938,143.47999572753906,144.2100067138672,141.99000549316406,142.0500030517578,25746400
2024-01-19,145.8512725830078,146.3800048828125,146.4499969482422,144.3800048828125,144.74000549316406,33300700
2024-01-22,145.46267700195312,145.99000549316406,148.38999938964844,145.83999633789062,147.10000610351562,32200400
2024-01-23,146.50889587402344,147.0399932861328,147.17999267578125,145.5,145.88999938964844,21636100
2024-01-24,148.1628875732422,148.6999969482422,149.85000610351562,148.10000610351562,148.5399932861328,25233500
2024-01-25,151.32144165039062,151.8699951171875,153.0500030517578,149.5399932861328,150.07000732421875,29149100
2024-01-26,151.64028930664062,152.19000244140625,152.5399932861328,151.00999450683594,151.10000610351562,26115500
2024-01-29,152.9555206298828,153.50999450683594,153.77999877929688,151.42999267578125,152.05999755859375,27784300
2024-01-30,150.91293334960938,151.4600067138672,153.6199951171875,151.19000244140625,152.8000030517578,36331800
2024-01-31,139.59396362304688,140.10000610351562,144.0,139.8699951171875,143.6199951171875,71910000
2024-02-01,140.650146484375,141.16000366210938,143.05999755859375,140.7899932861328,142.1199951171875,40466500
2024-02-02,141.86572265625,142.3800048828125,142.6199951171875,136.5,139.25999450683594,62470600
2024-02-05,143.16102600097656,143.67999267578125,145.47000122070312,142.77999877929688,142.82000732421875,38505400
2024-02-06,143.5795135498047,144.10000610351562,145.36000061035156,143.19000244140625,144.64999389648438,29128200
2024-02-07,145.01429748535156,145.5399932861328,145.6199951171875,143.92999267578125,144.75999450683594,25208900
2024-02-08,145.38296508789062,145.91000366210938,146.3300018310547,145.10000610351562,145.8300018310547,22563800
2024-02-09,148.46182250976562,149.0,149.44000244140625,146.17999267578125,146.67999267578125,26829500
2024-02-12,146.99713134765625,147.52999877929688,149.33999633789062,147.3699951171875,148.4199981689453,21564100
2024-02-13,144.61575317382812,145.13999938964844,146.6699981689453,143.69000244140625,144.9199981689453,27837700
2024-02-14,145.41285705566406,145.94000244140625,146.52000427246094,144.08999633789062,146.0800018310547,22704200
2024-02-15,142.2543182373047,142.77000427246094,143.52000427246094,140.4600067138672,143.13999938964844,37590700
2024-02-16,140.012451171875,140.52000427246094,143.19000244140625,140.13999938964844,142.99000549316406,31451100
2024-02-20,140.6102752685547,141.1199951171875,142.0800018310547,139.49000549316406,139.66000366210938,25144700
2024-02-21,142.0351104736328,142.5500030517578,142.69000244140625,140.67999267578125,141.4499969482422,23315700
